CopyBarcode,CallNumber,Title,MaterialType,PublicationYear,Status,DateLastAccountedFor,DateAcquired,TotalCirculations,CirculationsThisYear,CirculationsLastYear,CirculationsThisMonth
T 31027,VIDEO 323 TIM,A time for justice America's Civil Rights Movement,Video,1992,Available,2/7/2023,11/9/2005,2,0,0,0
T 41422,VIDEO 323.09 SEL,Selma : the bridge to the ballot,Video,2015,Available,2/7/2023,6/4/2018,0,0,0,0
T 27627,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,2,0,0,0
T 27576,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,2,0,0,0
T 27628,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,2,0,0,0
T 27622,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,4,0,0,0
T 27623,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,3,0,0,0
T 27629,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,10,0,0,0
T 27632,VIDEO 323.11 EYE,Eyes on the prize America's civil rights years,Video,1995,Available,2/7/2023,8/31/1998,2,0,0,0
T 40389,VIDEO 331.702 CAR,Careers : Focus on your future,Video,,Available,2/7/2023,4/9/2009,1,0,0,0
T 41054,VIDEO 331.8813 VIV,Viva la causa the story of César Chávez and a great movement for social justice,Video,2008,Available,2/7/2023,5/20/2013,0,0,0,0
T 60902,VIDEO 333.79 ENE,Energy,Video,2007,Available,2/7/2023,4/17/2008,0,0,0,0
T 31321,VIDEO 342.73,Key constitutional concepts,Video,2006,Available,2/7/2023,9/20/2006,3,0,0,0
T 31323,VIDEO 342.73 OUR,Our constitution : a conversation,Video,2005,Available,2/7/2023,9/20/2006,0,0,0,0
T 30908,VIDEO 362.1 ABS,Absolutely positive,Video,2004,Available,2/7/2023,11/4/2004,1,0,0,0
T 62892,VIDEO 362.29 DRU,"Drugs, the straight facts. Marijuana",Video,2010,Available,2/7/2023,4/2/2012,0,0,0,0
T 60911,VIDEO 362.29 MAR,Marijuana,Video,2004,Available,2/7/2023,4/17/2008,10,0,0,0
T 62913,VIDEO 362.29 REA,"Real life teens. Drug abuse beyond marijuana & alcohol, crossing the thin line.",Video,2008,Available,2/7/2023,4/10/2012,2,0,0,0
T 62879,VIDEO 362.292 DRI,"Drinking games, alcohol abuse and overdose",Video,2011,Available,2/7/2023,4/2/2012,19,1,2,0
T 60904,VIDEO 363.25 FOR,Forensics,Video,2004,Available,2/7/2023,4/17/2008,0,0,0,0
T 41134,VIDEO 364.1 WIT,Witnessing Darfur,Video,2005,Available,2/7/2023,6/3/2014,0,0,0,0
T 40388,VIDEO 370.11 INT,In the classroom with David Robinson,Video,2006,Available,2/7/2023,4/9/2009,0,0,0,0
T 28591,VIDEO 398.2 ALE,Alegria an enchanting fable,Video,1998,Available,2/7/2023,4/20/2001,0,0,0,0
T 30136,VIDEO 500.2 HID,Hidden by time : Seeing the physical world with high-speed cameras.,Video,2001,Available,2/7/2023,3/18/2002,1,0,0,0
T 40671,VIDEO 508 PLA,Planet Earth. Volume 2,Video,2008,Available,2/7/2023,6/10/2010,0,0,0,0
T 40660,VIDEO 508 PLA,Planet Earth. Volume 1,Video,2008,Available,2/7/2023,6/10/2010,0,0,0,0
T 40649,VIDEO 508 PLA,Planet Earth. Volume 3,Video,2008,Available,2/7/2023,6/10/2010,1,0,0,0
T 40670,VIDEO 508 PLA,Planet Earth. Volume 4,Video,2008,Available,2/7/2023,6/10/2010,0,0,0,0
T 60703,VIDEO 516 CON,Concepts in geometry,Video,2005,Available,2/7/2023,5/14/2007,0,0,0,0
T 60900,VIDEO 523.1 CRE,Creation of the Universe,Video,2004,Available,2/7/2023,4/17/2008,2,0,0,0
T 33793,VIDEO 523.8 BLA,Black holes the most dazzling detective story in the history of science,Video,1997,Available,2/7/2023,4/12/2006,10,0,0,0
T 60898,VIDEO 525 BLU,Blue planet,Video,2001,Available,2/7/2023,4/17/2008,1,0,0,0
T 33820,VIDEO 530.12 WAV,Waves,Video,1996,Available,2/7/2023,4/12/2006,19,0,0,0
T 62908,VIDEO 530.12 WAV,Waves,Video,2004,Available,2/7/2023,4/2/2012,3,0,0,0
T 62898,VIDEO 530.4 PHA,Phases of matter,Video,2003,Available,2/7/2023,4/2/2012,6,0,0,0
T 33798,VIDEO 531 ENE,Energy,Video,1996,Available,2/7/2023,4/12/2006,11,0,0,0
T 62914,VIDEO 531 ENE,Energy,Video,2005,Available,2/7/2023,4/10/2012,6,0,0,0
T 62884,VIDEO 531 FRI,Friction,Video,2004,Available,2/7/2023,4/2/2012,1,0,0,0
T 62885,VIDEO 531 GRA,Gravity,Video,2004,Available,2/7/2023,4/2/2012,2,0,0,0
T 62894,VIDEO 531 MOM,Momentum,Video,2004,Available,2/7/2023,4/2/2012,1,0,0,0
T 33804,VIDEO 531 MOT,Motion,Video,1997,Available,2/7/2023,4/12/2006,10,0,0,0
T 62896,VIDEO 531 MOT,Motion,Video,2005,Available,2/7/2023,4/2/2012,3,0,0,0
T 62899,VIDEO 531 PRE,Pressure,Video,2003,Available,2/7/2023,4/2/2012,2,0,0,0
T 60903,VIDEO 532 FLU,Fluids,Video,2004,Available,2/7/2023,4/17/2008,2,0,0,0
T 62883,VIDEO 532 FLU,Fluids,Video,2004,Available,2/7/2023,4/2/2012,0,0,0,0
T 31122,VIDEO 534 SOU,Sound,Video,2004,Available,2/7/2023,3/7/2006,0,0,0,0
T 33814,VIDEO 534 SOU,Sound,Video,1996,Available,2/7/2023,4/12/2006,6,0,0,0
T 62904,VIDEO 534 SOU,Sound,Video,2003,Available,2/7/2023,4/2/2012,1,0,0,0
T 62889,VIDEO 535 LIG,Light optics,Video,2005,Available,2/7/2023,4/2/2012,1,0,0,0
T 62888,VIDEO 535.6 LIG,Light & color,Video,2005,Available,2/7/2023,4/2/2012,3,0,0,0
